batch_size,LR,regularization,margin,positive_tendency,recall@25,mrr@25,recall@50,mrr@50
32,0.0005,0.1,0.7,0.7,86.5,49.334751359751365,90.0,49.42527423556837
32,0.0005,0.3,0.7,0.7,85.83333333333333,44.62549316180896,90.5,44.71660933612281
32,0.0005,0.0,0.5,0.8,85.25,43.79904612845015,89.0,43.89284122224524
32,0.0005,0.1,0.5,0.8,86.5,49.55997091853871,90.0,49.645731889593804
32,0.0005,0.3,0.5,0.8,85.83333333333333,44.68449804581386,90.5,44.77845989314347
32,0.0005,0.0,0.7,0.8,85.5,45.04437547746374,90.0,45.17574084412322
32,0.0005,0.1,0.7,0.8,86.5,49.16205450895856,90.0,49.2486558161481
32,0.0005,0.3,0.7,0.8,85.83333333333333,45.214591563407375,90.5,45.30868392819741
32,0.0005,0.0,0.5,0.9,86.5,46.78993103301929,90.0,46.88045390883629
32,0.0005,0.1,0.5,0.9,86.5,48.8304551728465,90.0,48.91990277984629
32,0.0005,0.3,0.5,0.9,85.83333333333333,45.26099705849709,90.0,45.3346265102778
32,0.0005,0.0,0.7,0.9,85.5,46.61796161354989,90.0,46.74783729342557
32,0.0005,0.1,0.7,0.9,86.5,48.46478701037527,90.0,48.55322655285892
32,0.0005,0.3,0.7,0.9,85.83333333333333,44.20460386019211,90.0,44.27767960211679
32,0.001,0.0,0.5,0.7,84.0,44.27362602160557,90.0,44.4211626119993
32,0.001,0.1,0.5,0.7,86.5,48.98940632381037,90.0,49.07885393081016
32,0.001,0.3,0.5,0.7,85.83333333333333,45.86935854994682,90.0,45.9444501250384
32,0.001,0.0,0.7,0.7,84.25,43.76015512265512,90.0,43.912411754911766
32,0.001,0.1,0.7,0.7,86.5,48.85215792978953,90.0,48.937918900844615
32,0.001,0.3,0.7,0.7,85.83333333333333,44.412673568261816,90.0,44.4857493101865
32,0.001,0.0,0.5,0.8,84.0,42.39829122568254,90.0,42.53982959322897
32,0.001,0.1,0.5,0.8,86.5,48.28871077752659,90.0,48.37367809778802
32,0.001,0.3,0.5,0.8,85.83333333333333,44.87978609110189,90.5,44.97828747710328
32,0.001,0.0,0.7,0.8,85.0,45.76474690342338,89.0,45.85854199721848
32,0.001,0.1,0.7,0.8,86.5,48.78270012151592,90.0,48.86846109257102
32,0.001,0.3,0.7,0.8,85.83333333333333,45.54925047175049,90.0,45.62572757421938
32,0.001,0.0,0.5,0.9,85.5,45.03014776073601,90.0,45.14222725382357
32,0.001,0.1,0.5,0.9,86.5,47.89328628887454,90.0,47.98152158299219
32,0.001,0.3,0.5,0.9,85.83333333333333,44.71373686255267,90.0,44.79154590987392
32,0.001,0.0,0.7,0.9,85.25,42.06780691530692,89.0,42.1552994880936
32,0.001,0.1,0.7,0.9,86.5,47.8103826728827,90.0,47.897777630865896
32,0.001,0.3,0.7,0.9,85.83333333333333,45.78036519036521,90.5,45.88268083337853
64,0.0001,0.0,0.5,0.7,86.5,48.16097097347099,90.0,48.24611029235644
64,0.0001,0.1,0.5,0.7,86.5,46.15110458169284,90.0,46.235620066208334
64,0.0001,0.3,0.5,0.7,85.83333333333333,41.54427946236771,90.5,41.64499295177686
64,0.0001,0.0,0.7,0.7,86.5,48.005870240870266,90.0,48.09038572538576
64,0.0001,0.1,0.7,0.7,86.5,47.10133398764979,90.0,47.18584947216528
64,0.0001,0.3,0.7,0.7,85.83333333333333,45.615435164250975,90.5,45.71561905894707
64,0.0001,0.0,0.5,0.8,86.5,47.98448495948498,90.0,48.07051554396758
64,0.0001,0.1,0.5,0.8,85.5,41.54837009395834,90.5,41.68500543928935
64,0.0001,0.3,0.5,0.8,85.83333333333333,45.65309750191332,90.0,45.72968480350061
